Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
551,2014,NBA,1,24,CHH,Shabazz Napier,22.353,G,us,University of Connecticut,2015.0,2019.0,235.0,15.7,5.7,1.7,1.9,0.8,0.1,0.396,0.423,0.365,0.799,4.5,0.059
552,2016,NBA,1,20,IND,Caris LeVert,21.308,G-F,us,University of Michigan,2017.0,2019.0,133.0,24.5,10.8,3.6,3.2,1.0,0.2,0.445,0.513,0.333,0.725,4.5,0.067
553,2013,NBA,1,7,SAC,Ben McLemore,20.141,G,us,University of Kansas,2014.0,2019.0,353.0,24.3,9.0,2.5,1.1,0.7,0.2,0.417,0.468,0.351,0.782,4.4,0.025
554,2013,NBA,1,18,ATL,Shane Larkin,20.273,G,us,University of Miami,2014.0,2018.0,256.0,19.1,5.5,1.9,2.9,0.9,0.1,0.422,0.454,0.336,0.777,4.4,0.044
555,2013,NBA,2,32,OKC,Alex Abrines,19.335,G-F,es,,2017.0,2019.0,147.0,15.4,5.3,1.4,0.5,0.5,0.1,0.393,0.438,0.378,0.865,4.4,0.092
556,2015,NBA,1,18,HOU,Sam Dekker,21.055,F,us,University of Wisconsin,2016.0,2019.0,157.0,15.0,5.3,3.0,0.7,0.4,0.2,0.483,0.594,0.286,0.608,4.4,0.091
557,2017,NBA,1,14,MIA,Bam Adebayo,19.344,C-F,us,University of Kentucky,2018.0,2019.0,73.0,19.8,6.9,5.6,1.5,0.5,0.6,0.506,0.518,0.0,0.718,4.4,0.146
558,2006,NBA,1,27,PHO,Sergio Rodriguez,20.021,G,es,,2007.0,2017.0,353.0,15.0,4.9,1.5,3.4,0.6,0.0,0.409,0.451,0.337,0.739,4.3,0.039
559,2012,NBA,2,46,NOH,Darius Miller,22.105,F,us,University of Kentucky,2013.0,2019.0,188.0,18.4,5.2,1.6,1.1,0.4,0.2,0.434,0.505,0.394,0.857,4.3,0.059
560,2015,NBA,1,21,DAL,Justin Anderson,21.223,G,us,University of Virginia,2016.0,2018.0,168.0,14.3,5.8,2.8,0.7,0.4,0.3,0.422,0.528,0.3,0.784,4.3,0.086
561,2013,NBA,1,11,PHI,Michael Carter-Williams,21.266,G,us,Syracuse University,2014.0,2019.0,292.0,27.3,11.4,4.7,4.8,1.4,0.6,0.401,0.433,0.25,0.705,4.2,0.026
562,2016,NBA,1,6,NOP,Buddy Hield,22.194,G,bs,University of Oklahoma,2017.0,2019.0,168.0,24.4,12.2,3.6,1.7,0.7,0.2,0.44,0.463,0.412,0.855,4.2,0.049
563,2000,NBA,1,13,ORL,Courtney Alexander,23.068,G,us,"California State University, Fresno",2001.0,2003.0,187.0,21.7,9.0,2.2,1.2,0.6,0.1,0.422,0.429,0.339,0.813,4.1,0.048
564,2007,NBA,2,47,WAS,Dominic McGuire,21.256,F,us,"California State University, Fresno",2008.0,2013.0,342.0,15.6,2.7,3.4,1.2,0.5,0.5,0.419,0.423,0.188,0.658,4.1,0.037
565,2014,NBA,2,40,MIN,Glenn Robinson III,20.174,G-F,us,University of Michigan,2015.0,2019.0,175.0,14.7,4.4,2.2,0.6,0.4,0.2,0.446,0.479,0.381,0.707,4.1,0.076
566,1999,NBA,2,34,NJN,Evan Eschmeyer,24.037,C,us,Northwestern University,2000.0,2003.0,153.0,14.0,2.8,3.9,0.5,0.5,0.6,0.463,0.463,,0.621,4.0,0.09
567,2002,NBA,1,12,LAC,Melvin Ely,24.061,C,us,"California State University, Fresno",2003.0,2014.0,375.0,16.0,5.3,3.2,0.7,0.3,0.6,0.46,0.461,0.0,0.625,4.0,0.032
568,2011,NBA,1,6,WAS,Jan Vesely,21.065,F,cz,,2012.0,2014.0,162.0,15.2,3.6,3.5,0.6,0.7,0.5,0.521,0.523,0.0,0.408,4.0,0.078
569,2013,NBA,2,34,HOU,Isaiah Canaan,22.043,G,us,Murray State University,2014.0,2019.0,209.0,20.5,8.4,1.9,1.8,0.6,0.1,0.369,0.402,0.35,0.837,4.0,0.045
570,2017,NBA,1,27,BRK,Kyle Kuzma,21.339,F,us,University of Utah,2018.0,2019.0,82.0,31.3,16.4,6.2,1.8,0.6,0.5,0.452,0.516,0.36,0.719,4.0,0.076
571,2006,NBA,1,12,NOK,Hilton Armstrong,21.234,F-C,us,University of Connecticut,2007.0,2014.0,292.0,11.6,3.0,2.6,0.3,0.3,0.5,0.501,0.503,0.286,0.582,3.9,0.055
572,2007,NBA,1,13,NOK,Julian Wright,20.044,F,us,University of Kansas,2008.0,2011.0,231.0,13.2,3.9,2.3,0.8,0.6,0.3,0.499,0.519,0.262,0.584,3.9,0.061
573,1999,NBA,1,5,TOR,Jonathan Bender,18.155,F,us,,2000.0,2010.0,262.0,14.7,5.5,2.2,0.6,0.2,0.6,0.417,0.442,0.34,0.763,3.8,0.047
574,2008,NBA,1,29,DET,D.J. White,21.305,F,us,Indiana University,2009.0,2014.0,138.0,15.3,5.9,3.2,0.6,0.3,0.4,0.507,0.507,0.333,0.72,3.8,0.087
575,2012,NBA,1,19,ORL,Andrew Nicholson,22.208,F,ca,St. Bonaventure University,2013.0,2017.0,285.0,14.3,6.0,3.0,0.4,0.3,0.3,0.467,0.498,0.321,0.773,3.8,0.045
